
Frequency results for run id=1859
=======================================
Freq MHz       R ohm       X ohm        SWR
  26.965       36.42       -3.29      1.386
  26.975       36.68       -2.98      1.373
  26.985       36.95       -2.66      1.362
  26.995       37.22       -2.35      1.350
  27.005       37.49       -2.04      1.339
  27.015       37.77       -1.72      1.327
  27.025       38.05       -1.40      1.317
  27.035       38.33       -1.09      1.306
  27.045       38.62       -0.77      1.295
  27.055       38.91       -0.45      1.285
  27.065       39.20       -0.12      1.275
  27.075       39.50        0.20      1.266
  27.085       39.80        0.52      1.257
  27.095       40.11        0.85      1.248
  27.105       40.42        1.18      1.239
  27.115       40.74        1.50      1.231
  27.125       41.06        1.83      1.223
  27.135       41.39        2.16      1.215
  27.145       41.73        2.49      1.208
  27.155       42.07        2.83      1.201
  27.165       42.41        3.16      1.195
  27.175       42.77        3.50      1.189
  27.185       43.13        3.83      1.184
  27.195       43.49        4.17      1.180
  27.205       43.87        4.51      1.176
  27.215       44.25        4.84      1.173
  27.225       44.65        5.18      1.171
  27.235       45.05        5.52      1.169
  27.245       45.46        5.86      1.168
  27.255       45.88        6.20      1.168
  27.265       46.31        6.54      1.169
  27.275       46.75        6.88      1.170
  27.285       47.20        7.22      1.173
  27.295       47.66        7.55      1.176
  27.305       48.14        7.89      1.180
  27.315       48.62        8.23      1.184
  27.325       49.12        8.56      1.189
  27.335       49.63        8.89      1.195
  27.345       50.16        9.23      1.202
  27.355       50.70        9.55      1.209
  27.365       51.26        9.88      1.217
  27.375       51.83       10.20      1.225
  27.385       52.42       10.52      1.234
  27.395       53.02       10.83      1.244
  27.405       53.65       11.14      1.253
