
Frequency results for run id=3096
=======================================
Freq MHz       R ohm       X ohm        SWR
  26.965       36.32       -4.42      1.399
  26.975       36.56       -4.11      1.387
  26.985       36.81       -3.81      1.375
  26.995       37.06       -3.50      1.364
  27.005       37.31       -3.19      1.352
  27.015       37.56       -2.88      1.341
  27.025       37.82       -2.57      1.330
  27.035       38.08       -2.26      1.319
  27.045       38.34       -1.94      1.309
  27.055       38.61       -1.62      1.298
  27.065       38.88       -1.31      1.288
  27.075       39.15       -0.99      1.278
  27.085       39.43       -0.66      1.269
  27.095       39.72       -0.34      1.259
  27.105       40.00       -0.02      1.250
  27.115       40.29        0.31      1.241
  27.125       40.59        0.64      1.232
  27.135       40.89        0.97      1.224
  27.145       41.20        1.30      1.216
  27.155       41.52        1.63      1.208
  27.165       41.84        1.97      1.201
  27.175       42.17        2.30      1.194
  27.185       42.50        2.64      1.188
  27.195       42.84        2.98      1.182
  27.205       43.19        3.32      1.177
  27.215       43.54        3.66      1.172
  27.225       43.91        4.00      1.168
  27.235       44.28        4.35      1.165
  27.245       44.66        4.69      1.162
  27.255       45.06        5.03      1.160
  27.265       45.46        5.38      1.159
  27.275       45.87        5.72      1.159
  27.285       46.29        6.07      1.159
  27.295       46.72        6.41      1.161
  27.305       47.17        6.76      1.163
  27.315       47.62        7.10      1.166
  27.325       48.09        7.45      1.170
  27.335       48.57        7.79      1.174
  27.345       49.07        8.13      1.179
  27.355       49.57        8.47      1.185
  27.365       50.10        8.80      1.192
  27.375       50.64        9.14      1.199
  27.385       51.19        9.47      1.207
  27.395       51.76        9.80      1.216
  27.405       52.35       10.12      1.225
